ID,Scenario,Transaction
CodeL-CaR-Airbus06,,
CodeL-CaR-Airbus08,,
CodeL-CaR-Airbus10,,
CodeL-CaR-Airbus18,,
CodeL-CaR-Bayer05,"The company uses 50% of its cash reserves to cover its short-term liabilities.

",
CodeL-CaR-Bayer06,"The company uses 60% of its cash reserves to cover its short-term liabilities.

",
CodeL-CaR-Bayer14,"The company uses 140% of its cash reserves to cover its short-term liabilities.

",
CodeL-CaR-Deutsche_Telekom03,,
CodeL-CaR-Deutsche_Telekom06,,
CodeL-CaR-Deutsche_Telekom07,,
CodeL-CaR-Deutsche_Telekom18,,
CodeL-CaR-Mercedes-Benz01,"The company uses 50% of its cash to pay for inventory.

",
CodeL-CaR-Mercedes-Benz04,"The company uses 50% of its cash to pay for interest expense.

",
CodeL-CaR-Mercedes-Benz14,"The company uses 75% of its cash to pay for software purchases.

",
CodeL-CaR-Mercedes-Benz16,"The company uses 50% of its cash to pay for marketing expenses.

",
CodeL-CaR-Mercedes-Benz17,"The company uses 75% of its cash to pay for legal fees.

",
CodeL-CaR-Mercedes-Benz18,"The company uses 25% of its cash to pay for insurance premiums.

",
CodeL-CaR-Mercedes-Benz19,"The company uses 50% of its cash to pay for employee bonuses.

",
CodeL-CaR-SAP11,"The company uses 75% of its cash to pay for supplies.

",
CodeL-CaR-SAP13,"The company uses 50% of its cash to pay for equipment purchases.

",
CodeL-CaR-SAP14,"The company uses 75% of its cash to pay for software purchases.

",
CodeL-CaR-SAP18,"The company uses 25% of its cash to pay for insurance premiums.

",
CodeL-CuR-Airbus05,"Current Assets = 300,000, Current Liabilities = 150,000, Current Ratio = 2

",
CodeL-CuR-Airbus10,"Current Assets = 550,000, Current Liabilities = 275,000, Current Ratio = 2

",
CodeL-CuR-Airbus12,"Current Assets = 650,000, Current Liabilities = 325,000, Current Ratio = 2

",
CodeL-CuR-Airbus14,"Current Assets = 750,000, Current Liabilities = 375,000, Current Ratio = 2

",
CodeL-CuR-Airbus20,"Current Assets = 1,050,000, Current Liabilities = 525,000, Current Ratio = 2

Note: The current ratio is calculated based on the current assets and current liabilities for each ",
CodeL-CuR-Deutsche_Telekom05,,
CodeL-CuR-Deutsche_Telekom09,,
CodeL-CuR-Deutsche_Telekom13,,
CodeL-CuR-Deutsche_Telekom18,,
CodeL-CuR-Mercedes-Benz05,,
CodeL-CuR-Mercedes-Benz06,,
CodeL-CuR-Mercedes-Benz16,,
CodeL-CuR-SAP01,,
CodeL-CuR-SAP03,,
CodeL-CuR-SAP13,,
CodeL-CuR-SAP17,,
CodeL-QR-Airbus04,,
CodeL-QR-Airbus12,,
CodeL-QR-Airbus16,,
CodeL-QR-Airbus19,,
CodeL-QR-Bayer02,,
CodeL-QR-Bayer07,,
CodeL-QR-Bayer10,,
CodeL-QR-Bayer12,,
CodeL-QR-Bayer14,,
CodeL-QR-Bayer15,,
CodeL-QR-Bayer18,,
CodeL-QR-Bayer19,,
CodeL-QR-Bayer20,,
CodeL-QR-Deutsche_Telekom10,,
CodeL-QR-Deutsche_Telekom11,,
CodeL-QR-Mercedes-Benz07,,
CodeL-QR-Mercedes-Benz19,,
CodeL-QR-SAP02,,
CodeL-QR-SAP07,,
